Author,Comment,sentiment_label
Bark Twid,as a country we should be ashamed but we are not we are to far gone,negative
A Christian,a href   part of this democratic process  by the way justin you did not win the popular vote so how exactly is this democratic,neutral
None None,trudeau 4 more yrs who care about majority he is here for another 4 yrs that s terrible for the haters,negative
Barend,if joe biden can win i mean how vould this guy not win we knew all along he would  win  just like sleepy joe  won ,negative
Calum CDZ,each family coming from middle class home  s easily paid 50 for this it  s like paying the ticket even though you didn  t go threw the stop sign,negative
Michelle Elvins,welcome to frigging chinada Grief loss longingUpset pain,negative
Vicker OfDibley,i think trudeau was never seeking a majority i believe he was trying to extend his stay in power by 2 years i was shocked when he called elections trying to get a majority everyone knew he was nt going to get it,negative
gino gino,the fiat mafia keeps showing power until everything goes down and again only the rich goes superrich thanks canada s great  democracy  a something els force your corporation to pay their dues in peru once again inglish style robe and guns,positive
farovail,hahaha and now tell me who should believe that justin trudeculeau would win no one wants him no one no real democracy rip democracy this is autocracy fake elections are very modern,negative
venetianlucifer,this guy is delusional at the very least he s patronizing and intellectually insultingi do nt know if there s a better option but he is just obnoxious,negative
ryan heck,you can canadian have spoken they have more canadians voted against you than for you so i guess they have spoken,neutral
Scott Lowe,the white supremacy party got zero seats that  s all i care,negative
A Christian,justin are you ever delusional you have a minority duhhhh smart guy this leader by the way who wrote that speech for you and whatever happened to your 2015 promises you do know what a  promise  is or did you flunk out of englist as well,negative
Theodora Apulia,what victory he wanted a majority government and got sent back to the same minority stuff is this person insane,negative
Mitsuharu,whelp time to get a green card,positive
SH,liberals love staying pooraverage and paying more taxes,negative
None None,all haters are so desperate now he got elected for a reason just shut up and accept defeat for those who voted against him,negative
Dosflamingos,canadians made the right choice by reelecting trudeau he won 3 elections so far because canadians recognize that he is the best,positive
Emps,so you just love you frenchies but hate alberta and bc such a good priminister totally ,positive
Don Schutte,did nt know you gave a victory speech after stealing something,negative
no thank you,did he win anything at all,neutral
Dani Vasquez,32 is hardly a  clear mandate  maybe if the cbc actually criticised the prime minister and his 600 million dollar waste of time for once ,negative
A Christian,thanks for blowing 600 million of my tax dollars you,negative
Amritpal kaur,wooooohoooo congratulations Celebration joy love you trudeau happy happy happy to see you again running the throne Hopeful good luckStrength fitnessLoveCelebration joyCelebration joyCelebration joyLove adoration congratulations again hip hip hurraaaaaaaaaayyyy Fun positive carefreeFun positive carefreeFun positive carefreeFun positive carefreeAppreciation happyAppreciation happy,positive
Me,lets see where ubi is and health care and housing bet you none of that is coming,neutral
Michael Tran,i like how you talk Okay approval correctLovePositive happy,positive
Steffi Maier,another example how voting is just an illusion of choice,negative
chris23384,canada is divided and did not give this idiot a clear mandate very disappointed,negative
deborah sacco,we need to demand a forensic election audit dominion voting systems has been proven to be fraudulent big time in the states and other countries that use it,negative
laud mike,another bogus victory  left over wealth will be disappear soon,negative
Brooklyn Reddick,this is not fair he manipulated a bunch of people and took them all down from the state and paid them loads of money just to vote for him,negative
TheLonewolfottawa,out voted by new canadians  just like police and military we have lost control over canada sad sad sad times for third generation and on canadians,negative
Oli,everbody knows he lost ended up in the same minority place he was cost us 600 millions embarrassement for him and has shown a lot of peopleare not standing with his never ending spending ways ,negative
HonieFlakes,he should tell his kids that every single of thier friends who s parents are nt set with money they will all be working barley scraping by losers you do nt got to go through that because we have money tell ur kids that n see what they think of you then,negative
D Cross,victory speech he just blew 600 million for nothing is there no end to the vanity,negative
Will Bochek,can  t believe this wingnut won,negative
zyzzyballubah33,it s a hopeless country  always was  well maybe not always but  oh man  good luck to us,negative
Jack Theladd,a 600 billion dollar makeover that still does nt take her to the ball,negative
Ivy Reid,it was all planned anyway ,neutral
C7777 X,this was just to wipe out their previous crimes,negative
CKetch,does nt mean you got the most amount of votes,neutral
•{Lovely_Gacha}•,phew good thing it was nt peoples party but federal has got to stop winning i mean cuz ndp was going to find all the unmarked graves from the residential school and federal well i ca nt say it Bored indifference,negative
Michael Tran,as long as he is doing what ever he can to make sure that we stay healthy and feel Love adhesivebandage he has my reminderribbon and the most biggest shame of all time is not following covid19 rules considering that there were many placard that kept on saying shame on you and wrote Angry swearing word which i find it ridiculous ps i hope your children do good things so that they will set a example of a good life,positive
Howie Z,this guy wasted millions of tax payers money on an election and for what,negative
jupiter jones,blackface trudeau wasted 650 million cad on a needless election and is celebrating having the same status as before  those who call this a victory have no brains at all,negative
Richard Roe,ontario should nt be allowed to control canada,negative
Paige McNamee,he should have to pay that 600 mill back what a waste during hard times awful,negative
raztubes,spent 200 million per seat gained worth it,positive
Zarth Kade,600 million tax dollars wasted for the exact same results as last election and because he didnt get a majority government we can expect another waste of money for another election in 18 months,negative
Brian Conlan,clear mandate only in your mind the majority of this country ca nt stand you,negative
Sohail Ahmed,what a waste of tax payers hard earned money,negative
Ismail,conservatives stop crying guy give you guys fair chance to win but you could nt so wake up and stop saying  i hate this i hate that   star saying all is well things always working out i love everybody we are all one  world reflect what is inside of you,negative
pat byrne,the country is split down the middle just like before this election started the idiot above is responsible good job ya clown,negative
kalea.h,wow 6k likes but 13k dislikes,negative
Citizen M,does nt matter who win politicnas are controlled by the elite,negative
Obb Bob,you re prime minister right  yeah  do you want to remain in the exact same position as you previously were but spend 600m dollars and call a new presidential election  yeah ,negative
d pacman,and santa delivers 4 more years of ethics violations yaaaaaaaa,negative
Alex Bosma,they are editing and removing comments laughing out loud Excitement laughter joy pathetic fool should nt be standing up there,negative
Michael H,here for the conservative meltdown,negative
Mike Parr,i smell some bs here how can a supposedly winning prime minister get far more dislikes on cbc liberal media outlet than likes something isn  t adding up here ,negative
Peter Lazar,thanks citynews for capturing all this awkwardness,positive
Christopher McMartin,it  s starting to feel like the hunger games where one province decides the fate of an entire country,negative
AB S,the world s biggest piece of human excrement,negative
Rick Huis,what a joke a bunch of fools believing that he  ll keep a promise he was a failure before and will fail in the future higher taxes high cost of living no protections for canada what crimes are next,negative
starmanstriker,this is a  nothing win  they proved themselves as weak as ever,negative
Mike z,i m sure he s in shock right now on how it was nt a landslide win,negative
Browniemann,no matter where you are on the political spectrum we can all agree that this was a ridiculous waste of time and money,negative
FuRy FTK,so who voted for him Tense nervous awkward,negative
couragemeplz,this is the election where the liberals won the conservatives won the ndp won the green won the bq won ppc won except the people we lost,negative
Automotive Affiliation,he hasn  t seen division these past weeks what do tou call rocks being thrown at you,negative
Slo Mo,does this mean it is 2019 again and covid never happened,neutral
Marc Rankiel,i hope they realize at the governement that 2 thirds of the canadians did nt vote for them ,negative
ravineel chand,im sooo upset why did you canadians vote for this man should of been voting conservative now we are in trouble everything will be for the immigrants and the rich i feel bad for people that ca nt afford housing people that are born on canada this man or the people behind him well reuin canada  secret agreements with china oh man this is not good,negative
99.9 PRESENTS -,600 million wasted on a 30 million person super spreader event good job door knob,negative
Halcyon Zenith,if it was nt for toronto and montreal this clown would be in the circus tying balloons not running our formerly great country into the ground it s time the rest of canada cut off the child support for upper canada who refuses to grow up and get a real job,negative
Gaelle Maz,minority  on his looks  not his brain,negative
Leeanne Richard Bishop,whaaaaaaa whaaaaaaa whaaaaaaa do i here cry babies its bettre then the smelly conserves do nt a canadain trump nope lololololo,negative
Riffrider,everything that comes out of this guys mouth is just pathetic empty encouraging words then the audience all claps for thinking he cares about them,negative
michael wolejszo,i m going to america and claiming refugee status to escape trudeau,neutral
رأيكم ايه!!!!,need to see more actions than talking need and deserve better life starting by raising our salary but not the goods prices reducing the cost of the groceries and other necessary expenses reducing the taxes which you promised to do from the first election our living cost does nt match with our salary,negative
Pat B, victory speech  640 million for another minority government no victory for canadian taxpayers when that money could have been used to get clean water for first nation communities that need it or the supposedly  verge of collapse  hospitals what a joke another election in 18 months gta screws canada again,negative
MGE Small Town Aerial,a leader that earned his seat on the throne would not have more dislikes thumbsdown than Well done good job approval how is trudeau fairing,neutral
ilikepiratesroar,waste of time and money justin is a losssser,negative
nazbee,no one likes you we know this was rigged Extreme happiness laughter,negative
SETH other,how the heck is this guy not doing shakespeare,negative
Byteable,so we spent 650 million dollar to inflate his ego more,negative
QueenEspeon96,this election is more pointless than the the protests  sheeeeeeeeeesh,negative
SETH other,and heeeeeeeeeere come the promises,positive
xAngoryx,look at the likes to dislikes on any of these videos and ask yourself if this was a fair election,negative
Миро М,trudeau there  s a level of admiration i actually have for china their basic dictatorship is actually allowing them to turn their economy around on a dime and say  we need to go green we want to start investing in solar ,positive
Marshgunner,a href  a href  whole video is the reference of cringe,negative
LakoJake,ffsanother loss for canada and another term for prime minister blackface,negative
Paul Cormier,i just vomited  Disgust nausea,negative
Reviewer,people of canada need to rebel,neutral
L3OPARD,this guy is a joke i m genuinely concerned for anyone who voted for the canadian liberals,negative
LEGOSTEVE0937,best vote is for jt much more a world class leader than any other option and if you are old enough to remember pet you would see he is the right man for the job,positive
Marshgunner,since trudeau has won the election everyone just have to say prepare for trudeau to swarm you by his ignorance better enjoy canada while it last,neutral
Mike Bishop,the guy belongs in jail never mind on that podium,negative
Elias Smyrneos,when they say progressive my dear fellow canadians it means techno communism and be ready to bend over because it  s gon na come hard and use some ky  or don  t,neutral
Jessica G,after seeing all the dislikes here and all the people i know that dislikes him i wonder if the elections are really that clear and not corrupted  the sheep voted again for an evil clown no sense of politics and he gets away with simple questions that he can  t even comprehend well enjoy trudy cause this is your last term,negative
Gagan Sandhu,this is a great example for those people who thik by spreading racism they can win election or become prime minister say no to racist discrimination we are candidates it doesn  t matter whether we are immigrants or not,negative
05D05,conservatives need pierre pollivier as a leader he will bulldoze this clown,negative
Debbie Allport,move along folks just another rigged election by his master george soros china,negative
Gundams33d00, victory   for who nothing significant changed cost us 610million to do this election what a waste of money time and resources,negative
Woodchopper46,trudeau gained one seat twelve more snap elections he should have a majority,neutral
James Graham,i wonder what scandal he is planing next,negative
Kenny G,barring performing some sort of miracle term or an exceedingly awful conservative opponent this was trudeau s last win ca nt hold nose and vote for him again makes me think he either wanted a majority and do 4 full years of what he wants or if he lost or minority he ll just put in a few months and then resignretire,negative
Joshua Baker,what a loser canada is doomed,negative
chandler cooper,i mean i guess someone has to be the laughing stock of the world ,negative
Chase Parrell,half of yall who are mad about it probably did nt even vote,negative
Michael LK,another frauded election what s new,negative
Jessica,so no social distancing here at all nice,positive
Wayne B,trudeau spent millions of the taxpayers money and achieved nothing on this election was he not prime minister prior to this election what a waste,negative
Naoma Tate,hmmm  how bery onteresting that canads also has the very suspect  dominion  voting machines that created all the fraud in the us  i wonder how many fraudulant votes we had here,negative
Bad News Brown,how did this guy just win an election when this video has over twice the dislikes than likes every comment towards him here is negative,negative
hpi rs4 m,this election was rig and i seen video of it same thing like in the state lost ballots even in canada the swamp and the woke are here,negative
DRESTA CAPONE,who voted for this goof Happy,negative
MrBoratWOW,a very profitable election for those receiving a share of 600 million plus all the other business generated with ad campaigns and such another scandal under trudeau  s belt if you ask me,neutral
Red,thanks for the 600 million bucks more thats comming out of our pockets ,neutral
Al Bert,i ll save anyone the time of reading any of the comments below  99 consist of whining crying  you been warned laughing out loud kleenex,negative
Justin Fleming,what a complete idiot  completely out of touch with middle and lower class,negative
Alyssa Coons,how do we know so quickly doesn  t it usually take days to count the ballots,neutral
Boss Hoody,called an election in the middle of a pandemic to grab power millions spent still a minority government literally nothing has been accomplishedhe may have won but he still failed,negative
syd sacascas,stealing an election is not the same thing as winning an election,negative
Donna Mitchell,congratulations to the prime minister on his victory moses have cross his people through the red sea in difficult time in faith prime minister justin our prayers with you on moving forward,positive
Yolanda Hurst,you are all criminals operating on lands that do not belong to you you will pay for what you have done to the moors true owners of the land i am sending durgakahlitare to all you organized criminals and to all those who are participating with this nonsense every one must pay for their crimes,negative
Algo Trading,so many dislikes on this videohow did he win,negative
Paula Hillier,what a farce the dumb dictator,negative
TheStormer91,conservatives had more votes then liberals but liberals hold more seats goes to show our votes truly don  t matter,negative
syd sacascas,he might have bamboozled this election but he wo nt escape international law and crimes against humanity it s coming ,negative
Denis Baribeau,congratulations to yo all,positive
John Doe,i literally dont know a single person that supports trudeau literally 0,negative
FA NI,the liar is back Extreme happiness laughter,negative
LoneWanderer,so weird how everyone clearly dislikes trudeau but he still wins,negative
MM02,ill be honest i voted liberal mostly because my family said to and i regret it my first time being able to vote in 4 years i  ll be voting conservative for an actual change,negative
Eternity,how are there any likes at all kind of like the election eh trudeau ow you say  rigged,negative
William Terry Masters,what kind of man would waste 610 million dollars thinking they had power to change and it changed nothing,negative
MZI,this story is more like a guy who grows his hair and does ponytail and then thinks what if i shave it all off and have a better set off hair only to go almost bald permanently in the process you are back to square one even worse jt why celebrate you narrowly escaped a defeat why even call the election on the first place first task after being reelected fire the ones who suggested the election in the first place,negative
Stan Dalone,victory he just showed with another minority government that the country just tolerates him,negative
Animals Are Our Angels,his wife sophie does not look very happy believe me there is trouble in paradise,negative
APlaceToBeWithMyThoughts,any previous prime minister would have stepped down after getting a minority 2 times in a row this guy sees it as a mandate we all just paid 600000000 for one mans ego,negative
RC,not really a win since he ended up in the exact same position give or take he was in sept 19th  the only win here is monsef losing her seat after her taliban are our brothers comment and 28 days short of an mp pension bahahahaha the real losers here are the canadian taxpayer having to fund an unnecessary election ,negative
Stephen Hass,so disappointed in canadians right now absolutely disgusting to see this happen to such a great country get ready for more communism,negative
W,even with the help from ccp trudeau s govt remain minority,negative
Dan Wegg,to everyone that voted awesome keep it up trudeau won another election but he is most likely going to have another election in 6 months to try and have a majority vote,positive
brett fesik,are you freaking serious ,negative
Mike Skeet,how this goof got in again is beyond me,negative
Rob Varley,amazing how the conservatives have won the popular vote the last 2 elections our system needs to change to better represent the majority of canadians,positive
Lady Jenavi,of course he won  can we say election fraud trudump was implicated in the confiscation of the dominion voting machines in the us elections  how much do you want to bet they were used here too no one i know voted for this creep,negative
BarneyShpaenglezz,3 cheers for all the tears,positive
Kooka Munga,trudeau is the lessor of two evils i voted for him because i hope he would get tough with the catholic church for its sins against native peoples i voted trudeau again hoping he would legalize prostitution and the other soft drugs i do nt think trudeau or otool would enact those changes to bring canada into the new millennium,negative
Bosley,rumour has it that his wife is divorcing him after the election and has been shacked up with another dude for time my money is on it being true,neutral
Libby Powell,an election during a pandemic and for what,negative
Jason Britnell,if half as many of the people bitching he won actually voted i bet it d be a different story,negative
Gordie Schultz,look at all of these trudeau haters kind makes you wonder why you all voted for him if he s so bad,negative
RawBoneGuitardriven,liberalism is a mental disorder,negative
Emerald 66,noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo he definitely rigged the election there  s more dislikes then likes on this video,negative
Zach Stark,how come everything he promises never actually happens,negative
Jon Torrie,how do you get flipped off everywhere you go and still win wait  i know how,neutral
Kenny Brown,for your information majority of canadians voted for conservatives,neutral
OscarMike,canada needs a policy where the person can only do 2 terms back to back and then they have to wait x years before running again this man is ruining our country and i m quite mad that he won  again next time canada next time,negative
Roxy Barber,i ve never wanted to punch someone in the face so bad laughing out loud,negative
Michael Kerry,he ca nt even admit he lost,negative
Adamo,his voice does not sound the same,negative
Adamo,looks more like the first clone,neutral
femhon,like it or not he is still has to answer to the opposition,neutral
Julia Kindred,this money couldve went towards so many other things ,negative
SVP,when are liberals paying back 600m of wasted tax money quite an expensive vanity show at the expense of canadian families and why in the heck we are getting this bunch of clowns in power again when they lost popular vote when it this parody of a politician going to fulfil his promise regarding voting system reform,negative
PinXvol,trudeau called election because he knows that next year will be a bad year for canada especially on the economic side of things if he goes into election right after a terrible year he will certainly loss therefore winning majority is just a reason for calling snap election when everything has nt go totally downhill yet with this he secured 4 years in office and the next election will likely to happen during economic recovery which gives him a much higher chance to win again,negative
Adamo,what no social distancing,negative
Kyle.vlogs2023,this country makes me sick,negative
L.C.K,time for western canada to split from the east obviously all brain dead over there,negative
Carson Wilson,rigged not enough of the younger generation votes that s why trudeau won,negative
Michael Kerry,600000000 for an ego trip that went wrong,negative
Pelosi’s Hammer,truck fudeau the likes and dislikes on this video tell me what i need to know the election was rigged thankfully not well enough to steal a majority after the fiasco of an election in the us i guess they didn  t want to be too obvious hillary tried to steal the election against trump the same way in a way that  s more difficult to prove biden  s win was too obvious there  s no way he got more votes than obama,negative
Charles Darwin, victory  seems like an exaggeration,negative
Sanjeep Shrestha,congratulations trudeau do nt worry we will pay 600m from out pocket,positive
Simply Valour,so happy to see another liberal government i ca nt imagine a canada without trudeau s policies,positive
Mulholland Exponential,liberal is the only way congrats prime minister trudeau Canada,positive
Someone else.,go back to your village justin they are missing their idiot,negative
serpencide,the ratio of likes to dislikes makes me very happy but it does nt fix what s been done we re kinda doomed,negative
Brad M,all i see is hate comments about this man every single day yet he got reelected seems fishy   so glad we  re going to go further in debt,negative
Sickofliberals,yes canadians are coming together thanks to you just because we do nt want our grandfather s mothers sacrifice for our freedoms destroyed by the likes of you so yes we are banding together to save canada what we believe in honesty love friendship sacrifice sharing freedom,positive
MmE A,just wanted to say congratulation and what a beautiful family especially his daughter looks so innocent and happy to her dad best of luck,positive
Canada 4Ever,and all covid laws are forgotten just look at so many people collected together,negative
Aaron Valerio,oh boy not him again  Reflective remorsefulDisgust nauseaDisgust ugly physical illness,negative
Flux99,long live liberalslong live socialism,negative
Brittany Reid,congratulations prime minister trudeau,positive
K L,what goods a leader if no one follows you Extreme happiness laughter,neutral
SirPJ,he is a joke around the world but his wife is hot af,positive
Tui Laai,do nt want to see trudeau around anymore fed up with that dude,negative
Geordan Lucio,he wanted a majority government did he not did he not get another minority government has this whole election not been just a waste of time and money,negative
Rookie Canadian Gamer,i  m waiting for the hammer and sickle announcement,neutral
Ted Grant,he seems like the greatest guy he knows,positive
Wuhlz,i think justin at the end not being able to go forward on the stage and then only to be able to go backwards was a great indicator of things to come fellow canadians,positive
crevis12,it  s egg on his face 610 million on an election to wind up right back where he left off  we the people did not want a liberal majority,negative
Steve Hallwood,sad day for canada conservatives got the most votes but the way the system is  rigged  liberals get the most seats for a win,negative
Olee _,he won great now can we see the proportion of vote by mail versus in person and so on  thanks,positive
X spider,i do nt know what you see mister  true d off  except your own profit ,negative
Mike Ueckert,250 000 homeless canadians hoping for a mild winter,negative
Mik Heckhaus,or is he talking about the rigged mail in ballots that will all be in his favor,neutral
crevis12,look at the dislikes  it is 2x the likes on this video  that is similar to trudeau popularity ,neutral
William Terry Masters,proverbs 2912king james version12 if a ruler hearken to lies all his servants are wicked,neutral
Toronto Auto Spa,cerb compulsory election registration benefit,neutral
Mik Heckhaus,what win all he did was spend 600 million dollars,negative
Hawkeye,just a matter of time before he requires all large businesses to mandate the vaccine,neutral
DW Design,this election was rigged right,negative
MrPaul1872, victory  speech was it a victory,neutral
Jayce L.,instead of spending millions on a snap election you may want to think of feeding the homeless and take care of your own country first the majority of canadians are still struggling to pay rent while trying to find work and putting food on the table fake fake fake what a speech ughhhhh,negative
Chris,how can people support him is beyond me what a waste of money,negative
William Terry Masters,what did one win nothing still the same thing after as before minority did nothing for you or people,negative
Hugh Jazz,600mil spent that could have gone to helping canadians pathetic,negative
Adam Scherf,something tells me the dislike ratio is the real election numbers d,neutral
Poke Zach,a href  that is the face of a liar a cheater and a massive hypocrite,negative
David Metcalfe,if ppc voters had nt split numbers with the conservative party cons would ve beaten the liberals in plenty of ridings and maybe even won the election not too bright,neutral
Ken Sarasin,how come the cbc can not be charged with election interference,negative
DinnerBells,a href  reptilian shapeshifting Excitement laughter joy,positive
Sickofliberals,what an a hole wasting millions of dollars dollarbanknote on an election he promised not to have during a pandemic just to try to take advantage of the whole thing to try to get the majority government and more control that power hungry jacka looks real good on him that he lost 5 seats Hysterical laughterOkay approval correct,negative
Sara Rodriguez,time will tell there  s always an end for everythingSarcasm boredom facewithspiraleyes,negative
DavisterIsBoss,600m wasted  could have been put to way better use ,negative
John Gilmour,it may be time to begin asking questions of your neighbours   did you vote for trudeau ,neutral
Maria Gillinson,i appreciate his leadership through this pandemic he makes mistakes but we can hold our head high and with dignity we all have to standup and ask questions and not leave it to anyone to govern without our input opinion and action sweet couple and great kids whatever our division we all need each other and stay united so we all have a beautiful life in our amazing country that everyone respects,positive
Haaziq Adnan Mohamed,congratulations for justin truedoWell done good job approval,positive
John Gilmour,i wonder where the canadian tax paying citizens would emmigrate to as this does not feel very much like   canada anymore   when the country allows a primary school teacher to run the country,negative
Fred Thompson,the clown prince survives to further his goal of turning canada into a post national state,negative
Liz Towers,soooo where are all the good snippers at sleeping,negative
Jeff Brokenshire,pos traitor free chinese food for life,negative
Skrap RKO,how is it that this guy won but even the media right now is showing with a thumbs up and thumbs down how much they don  t like this guy,negative
Liz Towers,nobody voted for you it was rigged just like bidens,negative
Riverside Photohraphy,we  re doomed welcome to chinada,negative
lenny Blunden,anyone who believes this liar about 10 dollar daycare your a fool who s goin to watch your kids a dog it s a pipe dream wake up this is wht you call failing to the top,negative
Netkiller3714,man if people actually voted him into power again canada has an iq of like 35,negative
J Ip,librtsl party should be more aggressive and present liberal party work plan to more different communities i am a die heart liberal trudeau fan,neutral
Angel Rose,ask him why he paid a father over 2 million to keep quite don  t leave your children alone with him,negative
TechFusionHQ,he is just handsome amongst other presidents except putin,positive
Jill Carnegie,looks like he will have this country bankrupt no thanks to his stupidity on spending i hope the people who voted him in are happy with a broken country,negative
G Lævatienn,guy should get impeached after loosing his caps he s more for destroying canada and improving souly eastern canada while putting western canada in the ditches,negative
Netkiller3714,what does she mean canada has spoken he won with a minorty vote that means he lost,negative
GingaSnapZ,he left people on disability to the side with no help he didnt help all canadians and left us behind,negative
Angel Rose,couldn  t cheat enough for a majority he is no leader he is not even a good man useless put him on his own in the bush he could not survive clown,negative
Sandy Sand,now he can hide again from all of his nonsense,negative
Brenda Mitchell,yup another term of over spending bringing in people we have to look after while they wo nt take care of the elderly here in canada promising millions of dollars to other countries that we ca nt afford idiots,negative
Netkiller3714,there is no way this goof won legitimately,negative
Kinson Beh,booooooo trudeau you will lose and you will resign for good and all illegal aliens will be deported,negative
ecstatic animations,congratulations mister president,positive
Netkiller3714,i demand an investigation into where all that money went,negative
Mx Pwr,through dough we are stuck with the lpc for decades ,negative
Netkiller3714,well now we know where that 610 million dollars tax money went buying votes real talk fk this piece of sht,negative
Adrian Brunnhuber,why do people show up to these i genuinly see no point considering the fact that you could just watch it in bed,negative
emily wilson,you spend 650 million on your party and we starv why am i even here anymore im done,negative
John Gilmour,it may turn out to be   the saddest day in canadian history ,negative
Agyrion,for the people who say this election was a waste of time and money the guy gave you the chance to boot him out and you did nt ok then,negative
TrueAwakenment,how come i dont know anyone the voted liberal,negative
freeman239,why do people vote for him and his gang of cronies,negative
Mean Angel,trudeau is back so the delta variant would be prepare for another lockdown,negative
Jakiva Lozanenko,i heard it was supposed to take nearly an extra week to count up all the mail in votes anyone bueller,negative
JG,most definitely had botox lolllll,neutral
HockeyMamusia,he clearly does nt understand the math if it was true democracy he would have lost by over million votes,negative
Priest Guardian,and canada goes further in debt maybe we will see the 1000 bill again rainbows and butterflies,neutral
Sabiha Altaf,well all those negative comments he must have done something right to be back in this seat which the others couldn  t do,negative
Johanne Rieland,to the west vote to separate befor its to late,neutral
Chi chi’s,what about the low income familys i feel so bad for them,negative
Mitch Burke,if you voted liberal you re the problem,negative
EMC,well how much more damage can he do Sarcasm boredom,negative
David Berthelet,i want an audit like arizona,neutral
Brandon McGillis,it  s scary that he  s only talking to the ones who voted for him when the majority of the country didn  t,negative
Johanne Rieland,i say this election was rigged how do dead people end up on a voting list,negative
Mike Wartooth,ever buy something from a store find out its broken return it not get your money back but leave the object at the store then watch the employees get their 15 commission that was the election,negative
JG,how does this make sense i haven  t heard one person say they  re voting for him and everybody wants him gone,negative
cody larkhart,600 million of taxpayer s dollars in lobbying fund s for his cronies and offshore account s,negative
Gabriel Georges,cost us millions Frustrated dumbfounded malesign facewithspiraleyes,negative
Corny Fehr,this gut is a walking tumor for canada,negative
FROSTBYTE 87x,and now we re going to get back to work setting up another election in 1824 months costing another 600m in order to get that majority i need to be a dictator like my daddy from cuba,negative
Stamo C,so liberals consider it a victory to spend 600 million dollars of all our money to end up exactly where everything was the day before except for being 600 million poorer,negative
Isabellaa,the way i will go into hiding if that was my dad i will be embarrassed if i were them,negative
Leesa,make me Disgust ugly physical illnessDisgust ugly physical illnessDisgust ugly physical illnessDisgust ugly physical illness,negative
Matthew steven Hœfer,mail in bollots will give him majority,negative
CGK,i voted ballotboxwithballot and i voted ballotboxwithballot for him good luck Hopeful good luck,positive
smoke tires not drugs,what you see is f canada up,negative
Mandy Côté,trudeau is nothing but a tool in the hands of god who actually reignsmankind is not prepared for what is on the horizoni suggest getting your own house in order repent,negative
cyberfrank 2010,congrats on the victoryand nice speechgood luck on the times ahead for us all,positive
Vlad Rybicka,just a ration of  likes  is saying who is a real winner,neutral
ban Francis,this is the change canadians want hypocrites,negative
Joel Maskell,had a minority government called an election now has a minority government ,neutral
J Ip,i i m so excited to hear liberal prime minster trudeau won again hoping liberal will keep a promise to solve the people housing problem,positive
Rupinder Singh,i buckin hate this guy like adult hate proper adult hate,negative
Hark659,same result from 2019 and completely waste of 600 millions of our taxpayer pretty much who he is thanks trudeau for making canada even more broken,negative
Beat Banks, for the third time canadians have spoken  137 of canadians voted for trudeau that s all it takes right now to be the country s leader right now dark times ahead but hopefully the other 863 of canadians can be non compliant with his policies,negative
Drawn Warrior,good job wasting more money this is a shameful day for canada,negative
Joshua,trudeau spent 610 million taxpayer dollars on a needless election where each party achieved almost exactly the same seat count completely irresponsible and disrespectful to hardworking taxpaying canadians he is oblivious to the struggles of canadian families to earn that money while he erodes their remaining disposable incomes with carbon taxes that will never change the weather,negative
lawrencehearn2000,32 of the popular vote for trudeau s liberals is no mandate  the election only shows how absurdly unrepresentative is the firstbythepost electoral system an unelected head of state an unelected upper house and an unrepresentative parliament demands canada reforms to become a true democracy,negative
Goggle Hero Omega Maple,not gon na lie this was a pretty useless election  xd,negative
Ayden Luong,i hate trudeau with a passion but atleast his sons cute,negative
irøn,i hate this smirking little communist weasel so much i can  t describe it,negative
Nick Cottrell,too many ppc voteswe needed conservative to push the liberals out then try for ppc if and when the time came say goodbye to your freedom canada we had a good run,neutral
Michael G,seems fishy like it was rigged clearly majority of people are not for trudeau and all the restrictions on freedom he wants to impose,negative
HyperCynic,what a waste of time money and resources,negative
Nathan Goddard,a big shout out to onatio and quebec for inflicted the liberal party and it s eastern centric policies on the west again,positive
pandoris01,12000 dislikes and 5600 likes 420pm 20210921 how did this even happen clearly his voters are so out of touch they dont use youtube what a joke,negative
Rita McLean,jt thank you for spending more of hard working canadians money over 600 million in a pandemic facewithmedicalmask for what total waste of time thumbsdown hope your ego was worth it,negative
betty litchfield,cbc so called journalists must be happy they get to continue to steal from tax payers for their work where advertisers do not support but trudope will take our money for this loser network happy,negative
CHAOSxTiFX,600 millions down the drain he lost the popular vote 2 times only the gta greater toronto area elected him majoritarily he cant talk about representing all of canadians most of us distrust him very shamed of having to say that this is my prime minister,negative
SJ 93,why is everyone complaining do you not know how easy it is to make money while this guys in office maybe educate yourselves more instead of complaining and looking for a handout,negative
Ashley Hamilton,rigged i know 3 people who went to vote and could nt cause the person said they already did online when they did nt Ponder question,negative
1969gord,the end of canada as we know it,negative
1976ClassicCelica,i thought he said stubbornment ha ha ha,neutral
Stormingnorming,the people have given him a clear direction what,neutral
Steve,canastan 20 trudeau is a total waste,negative
rogers rivas,please justin trudeau  no give the hand to minister cvomunist  s  we are fredom nation,neutral
Andres Chavez,pointless election i voted liberal the first time justin got in and i ve been disappointed in him i m just happy it s a minority government again,negative
Tina Klassen,i think canada is in deep trouble now so far he has nt done anything good you should step down and let somebody else take over he just wants all taxpayers money so i do nt think that he got boarded and it s all crooked,negative
Col Col,way to waste more of iur money trudeau,negative
Alexandre Gagne,i wonder how much money this election cost ,negative
Stephen Drysdale,now i know for sure elections canada is rigged,negative
